,antecedents,consequents,support,confidence,lift
46,"frozenset({'玩具', '食品'})",frozenset({'电子产品'}),0.039567396465312585,0.44378698224852076,0.9183386734192917
21,"frozenset({'电子产品', '家居'})",frozenset({'食品'}),0.04642574518596676,0.44110275689223055,0.9172904834769314
61,frozenset({'运动户外'}),frozenset({'食品'}),0.056185702980743865,0.4382716049382716,0.9114029919478813
19,frozenset({'家居'}),frozenset({'电子产品'}),0.10524927459773147,0.44039735099337746,0.9113244310130426
60,frozenset({'运动户外'}),frozenset({'电子产品'}),0.056185702980743865,0.4382716049382716,0.9069255755027226
49,"frozenset({'家居', '玩具'})",frozenset({'服装'}),0.017937219730941704,0.4444444444444445,0.9068293266355699
33,"frozenset({'电子产品', '母婴'})",frozenset({'服装'}),0.028224742811922974,0.4439834024896265,0.9058886323133336
64,"frozenset({'服装', '运动户外'})",frozenset({'电子产品'}),0.02769717752571881,0.4375,0.9053288755458515
51,frozenset({'汽车用品'}),frozenset({'食品'}),0.051173832761804275,0.4330357142857143,0.900514751978685
57,"frozenset({'汽车用品', '玩具'})",frozenset({'服装'}),0.009759957794777103,0.44047619047619047,0.8987326362191809
42,"frozenset({'玩具', '服装'})",frozenset({'电子产品'}),0.039567396465312585,0.43352601156069365,0.89710540929399
27,frozenset({'母婴'}),frozenset({'食品'}),0.05803218148245846,0.4305283757338552,0.8953006431196078
12,"frozenset({'办公', '服装'})",frozenset({'食品'}),0.024268003165391717,0.4299065420560748,0.8940075155976849
10,frozenset({'办公'}),frozenset({'电子产品'}),0.06093379055658138,0.43097014925373134,0.8918165042690478
22,"frozenset({'家居', '食品'})",frozenset({'电子产品'}),0.04642574518596676,0.43031784841075793,0.8904666830377639
35,"frozenset({'母婴', '玩具'})",frozenset({'电子产品'}),0.011342653653389607,0.43,0.8898089519650655
29,"frozenset({'电子产品', '母婴'})",frozenset({'食品'}),0.02716961223951464,0.42738589211618255,0.8887657251851059
45,"frozenset({'电子产品', '玩具'})",frozenset({'食品'}),0.039567396465312585,0.4273504273504274,0.8886919748137522
20,frozenset({'家居'}),frozenset({'服装'}),0.10366657873911897,0.43377483443708614,0.8850594173040869
69,"frozenset({'玩具', '运动户外'})",frozenset({'食品'}),0.009759957794777103,0.42528735632183906,0.8844017376939615
9,frozenset({'办公'}),frozenset({'食品'}),0.05987865998417304,0.42350746268656714,0.880700379070091
47,"frozenset({'家居', '玩具'})",frozenset({'电子产品'}),0.017145871801635452,0.4248366013071896,0.8791242115477924
15,"frozenset({'家居', '办公'})",frozenset({'食品'}),0.013452914798206279,0.42148760330578516,0.8765000022667205
73,"frozenset({'办公', '运动户外'})",frozenset({'食品'}),0.006330783434450013,0.42105263157894735,0.8755954615007072
41,"frozenset({'电子产品', '玩具'})",frozenset({'服装'}),0.039567396465312585,0.4273504273504274,0.871951275611125
13,"frozenset({'电子产品', '办公'})",frozenset({'服装'}),0.02585069902400422,0.4242424242424242,0.8656098117884984
55,"frozenset({'汽车用品', '服装'})",frozenset({'电子产品'}),0.020838828805064626,0.41798941798941797,0.8649551766363993
43,"frozenset({'玩具', '食品'})",frozenset({'服装'}),0.03772091796359799,0.4230769230769231,0.8632317628550136
58,"frozenset({'汽车用品', '玩具'})",frozenset({'电子产品'}),0.009232392508572936,0.4166666666666667,0.8622179767103348
52,frozenset({'汽车用品'}),frozenset({'服装'}),0.049854919546293855,0.421875,0.8607793998923573
44,"frozenset({'玩具', '服装'})",frozenset({'食品'}),0.03772091796359799,0.41329479768786126,0.8594627416536929
24,"frozenset({'家居', '服装'})",frozenset({'电子产品'}),0.04299657082563967,0.41475826972010177,0.8582688867406691
25,"frozenset({'家居', '服装'})",frozenset({'食品'}),0.04246900553943551,0.40966921119592875,0.8519231923443586
62,"frozenset({'母婴', '运动户外'})",frozenset({'服装'}),0.007122131363756265,0.4153846153846154,0.8475366398940134
67,"frozenset({'家居', '运动户外'})",frozenset({'服装'}),0.012397784225797943,0.41228070175438597,0.8412035201027326
23,"frozenset({'电子产品', '家居'})",frozenset({'服装'}),0.04299657082563967,0.4085213032581454,0.8335329712872062
70,"frozenset({'玩具', '运动户外'})",frozenset({'电子产品'}),0.009232392508572936,0.40229885057471265,0.8324863223410129
11,"frozenset({'办公', '食品'})",frozenset({'服装'}),0.024268003165391717,0.4052863436123348,0.8269324696632729
36,"frozenset({'母婴', '玩具'})",frozenset({'服装'}),0.010551305724083356,0.4,0.8161463939720129
